Timestamp,Rainfall_mm
02-07-0000,3.34
02-07-0300,0
02-07-0600,0.26
02-07-0900,9.69
02-07-1200,0
02-07-1500,0.47
02-07-1800,19.74
02-07-2100,97.25
02-08-0000,90.56
02-08-0300,22.27
02-08-0600,32.33
02-08-0900,66.61
02-08-1200,6.18
02-08-1500,25.79
02-08-1800,17.46
2/8/2100,35.32
02-09-0000,103.33
02-09-0300,81.9
02-09-0600,39.16
02-09-0900,46.15
02-09-1200,42.41
02-09-1500,90.19
02-09-1800,50.63
2/9/2100,35.7
